carat,cut,color,clarity,depth,table,price,x,y,z,volume,x/y_ratio,t/d_ratio,category_color,category_clarity
0.56,Good,D,SI2,63.2,54.0,1258,5.24,5.26,3.32,91.51,1.0,0.85,Colorless,Slightly Included
1.0,Fair,G,SI1,65.8,55.0,3304,6.22,6.19,4.08,157.09,1.0,0.84,Near Colorless,Slightly Included
0.27,Very Good,D,VS1,60.4,59.0,470,4.15,4.2,2.52,43.92,0.99,0.98,Colorless,Very Slightly Included
0.27,Very Good,E,VVS2,61.7,58.0,620,4.12,4.15,2.55,43.6,0.99,0.94,Colorless,Very Very Slightly Included
0.41,Premium,E,VS1,61.2,58.0,1153,4.78,4.76,2.92,66.44,1.0,0.95,Colorless,Very Slightly Included
1.01,Premium,G,VS1,62.7,58.0,6499,6.38,6.41,4.01,163.99,1.0,0.93,Near Colorless,Very Slightly Included
0.33,Ideal,H,VVS1,62.1,53.0,730,4.47,4.51,2.79,56.25,0.99,0.85,Near Colorless,Very Very Slightly Included
0.5,Very Good,E,VS2,62.4,57.0,1568,5.01,5.03,3.13,78.88,1.0,0.91,Colorless,Very Slightly Included
1.63,Ideal,F,SI1,61.5,56.0,13363,7.55,7.58,4.66,266.69,1.0,0.91,Colorless,Slightly Included
0.41,Ideal,F,VS2,62.7,57.0,863,4.73,4.78,2.98,67.38,0.99,0.91,Colorless,Very Slightly Included
1.22,Premium,F,SI1,61.8,59.0,6887,6.86,6.83,4.23,198.19,1.0,0.95,Colorless,Slightly Included
0.5,Very Good,F,VVS2,62.8,55.0,2153,5.0,5.13,3.18,81.57,0.97,0.88,Colorless,Very Very Slightly Included
0.37,Premium,E,VS2,60.3,58.0,1041,4.66,4.63,2.8,60.41,1.01,0.96,Colorless,Very Slightly Included
0.31,Premium,G,VVS1,59.5,60.0,816,4.39,4.41,2.62,50.72,1.0,1.01,Near Colorless,Very Very Slightly Included
1.26,Good,J,VS2,63.2,57.3,5211,6.81,6.86,4.32,201.82,0.99,0.91,Near Colorless,Very Slightly Included
0.7,Very Good,E,SI1,61.8,59.0,2923,5.63,5.69,3.5,112.12,0.99,0.95,Colorless,Slightly Included
0.57,Premium,D,VS1,60.6,59.0,2360,5.38,5.32,3.24,92.73,1.01,0.97,Colorless,Very Slightly Included
1.23,Ideal,H,SI2,61.4,54.0,5641,6.95,6.94,4.26,205.47,1.0,0.88,Near Colorless,Slightly Included
0.54,Ideal,F,SI2,61.2,57.0,1409,5.25,5.23,3.21,88.14,1.0,0.93,Colorless,Slightly Included
0.3,Ideal,E,SI1,61.1,57.0,499,4.3,4.34,2.64,49.27,0.99,0.93,Colorless,Slightly Included
0.26,Ideal,I,VS1,62.5,53.0,417,4.08,4.11,2.56,42.93,0.99,0.85,Near Colorless,Very Slightly Included
0.33,Ideal,E,VS2,61.0,57.0,723,4.43,4.46,2.71,53.54,0.99,0.93,Colorless,Very Slightly Included
0.3,Ideal,I,SI1,62.5,58.0,422,4.25,4.29,2.67,48.68,0.99,0.93,Near Colorless,Slightly Included
1.0,Ideal,E,SI2,62.9,56.0,3450,6.32,6.3,3.97,158.07,1.0,0.89,Colorless,Slightly Included
1.51,Ideal,G,VS2,62.0,56.0,13355,7.35,7.32,4.55,244.8,1.0,0.9,Near Colorless,Very Slightly Included
1.02,Ideal,H,SI2,60.5,57.0,4297,6.52,6.56,3.95,168.95,0.99,0.94,Near Colorless,Slightly Included
1.01,Very Good,E,SI2,63.4,58.0,3801,6.43,6.34,4.05,165.1,1.01,0.91,Colorless,Slightly Included
1.2,Ideal,I,SI1,62.4,57.0,5535,6.75,6.8,4.23,194.16,0.99,0.91,Near Colorless,Slightly Included
0.31,Ideal,D,SI1,61.4,55.0,571,4.35,4.38,2.68,51.06,0.99,0.9,Colorless,Slightly Included
0.36,Ideal,F,VS1,60.7,59.0,775,4.59,4.61,2.79,59.04,1.0,0.97,Colorless,Very Slightly Included
0.72,Very Good,F,SI1,63.4,58.0,2670,5.69,5.66,3.6,115.94,1.01,0.91,Colorless,Slightly Included
1.01,Very Good,F,VS2,59.4,61.0,6288,6.48,6.51,3.86,162.83,1.0,1.03,Colorless,Very Slightly Included
1.58,Ideal,H,VS2,61.4,56.0,12334,7.5,7.56,4.62,261.95,0.99,0.91,Near Colorless,Very Slightly Included
0.61,Premium,F,VS2,59.6,61.0,2075,5.58,5.5,3.3,101.28,1.01,1.02,Colorless,Very Slightly Included
1.01,Good,J,VS2,63.3,54.0,3555,6.34,6.42,4.04,164.44,0.99,0.85,Near Colorless,Very Slightly Included
0.4,Good,D,VS1,60.5,63.0,954,4.75,4.77,2.88,65.25,1.0,1.04,Colorless,Very Slightly Included
1.28,Very Good,E,SI1,59.8,59.1,7927,6.99,7.05,4.21,207.47,0.99,0.99,Colorless,Slightly Included
0.56,Ideal,H,VS1,60.2,57.0,1888,5.38,5.35,3.23,92.97,1.01,0.95,Near Colorless,Very Slightly Included
0.72,Ideal,F,VVS1,60.8,56.0,5051,5.83,5.81,3.54,119.91,1.0,0.92,Colorless,Very Very Slightly Included
0.57,Premium,F,SI1,60.7,58.0,1571,5.36,5.32,3.24,92.39,1.01,0.96,Colorless,Slightly Included
1.05,Very Good,F,SI2,62.1,58.0,4436,6.47,6.5,4.03,169.48,1.0,0.93,Colorless,Slightly Included
1.5,Very Good,H,VS1,63.3,59.0,9173,7.15,7.1,4.51,228.95,1.01,0.93,Near Colorless,Very Slightly Included
0.23,Good,F,VVS1,60.3,66.0,472,3.93,3.96,2.38,37.04,0.99,1.09,Colorless,Very Very Slightly Included
1.01,Fair,D,VVS2,65.4,57.0,8716,6.2,6.16,4.04,154.3,1.01,0.87,Colorless,Very Very Slightly Included
0.77,Premium,G,VS2,61.3,57.0,2803,5.93,5.88,3.62,126.22,1.01,0.93,Near Colorless,Very Slightly Included
0.39,Very Good,J,VVS1,62.5,58.0,718,4.61,4.67,2.9,62.43,0.99,0.93,Near Colorless,Very Very Slightly Included
0.37,Premium,E,VS2,59.5,59.0,1041,4.71,4.64,2.78,60.76,1.02,0.99,Colorless,Very Slightly Included
1.59,Very Good,J,VS1,60.1,60.0,8515,7.56,7.59,4.55,261.08,1.0,1.0,Near Colorless,Very Slightly Included
1.52,Premium,F,VS2,62.3,56.0,14544,7.34,7.29,4.56,244.0,1.01,0.9,Colorless,Very Slightly Included
1.01,Good,G,SI2,62.8,61.0,4210,6.31,6.37,3.98,159.97,0.99,0.97,Near Colorless,Slightly Included
1.51,Very Good,J,SI2,61.9,59.0,6546,7.26,7.31,4.51,239.35,0.99,0.95,Near Colorless,Slightly Included
1.02,Ideal,G,SI2,62.7,57.0,4370,6.44,6.42,4.03,166.62,1.0,0.91,Near Colorless,Slightly Included
0.6,Ideal,G,VS2,62.1,56.0,1795,5.4,5.45,3.37,99.18,0.99,0.9,Near Colorless,Very Slightly Included
0.7,Good,D,SI2,58.2,63.0,2583,5.78,5.83,3.38,113.9,0.99,1.08,Colorless,Slightly Included
0.51,Ideal,H,VS2,61.5,55.0,1375,5.16,5.18,3.18,85.0,1.0,0.89,Near Colorless,Very Slightly Included
1.08,Ideal,E,VVS1,61.5,58.0,13994,6.57,6.64,4.06,177.12,0.99,0.94,Colorless,Very Very Slightly Included
1.05,Ideal,F,VVS2,61.6,56.0,9483,6.55,6.53,4.03,172.37,1.0,0.91,Colorless,Very Very Slightly Included
0.9,Premium,G,VS2,61.5,60.0,4309,6.16,6.13,3.78,142.74,1.0,0.98,Near Colorless,Very Slightly Included
1.0,Good,E,SI1,57.6,65.0,3696,6.47,6.44,3.72,155.0,1.0,1.13,Colorless,Slightly Included
0.36,Premium,D,VS2,61.0,58.0,852,4.59,4.62,2.81,59.59,0.99,0.95,Colorless,Very Slightly Included
0.9,Fair,H,SI1,65.6,57.0,3024,6.04,6.01,3.95,143.39,1.0,0.87,Near Colorless,Slightly Included
1.01,Premium,H,SI1,60.6,61.0,4320,6.39,6.35,3.86,156.63,1.01,1.01,Near Colorless,Slightly Included
0.3,Very Good,F,SI1,62.1,61.0,500,4.25,4.29,2.65,48.32,0.99,0.98,Colorless,Slightly Included
1.1,Very Good,H,SI1,62.1,58.0,4276,6.59,6.61,4.1,178.6,1.0,0.93,Near Colorless,Slightly Included
0.81,Ideal,F,SI1,61.9,57.0,2977,5.98,6.01,3.71,133.34,1.0,0.92,Colorless,Slightly Included
1.07,Very Good,G,VS2,61.9,60.0,6101,6.48,6.55,4.03,171.05,0.99,0.97,Near Colorless,Very Slightly Included
0.95,Premium,G,SI1,62.6,58.0,4150,6.26,6.21,3.9,151.61,1.01,0.93,Near Colorless,Slightly Included
0.51,Ideal,E,SI1,59.6,57.0,1546,5.24,5.2,3.11,84.74,1.01,0.96,Colorless,Slightly Included
0.64,Very Good,H,SI2,64.2,58.0,1292,5.43,5.48,3.5,104.15,0.99,0.9,Near Colorless,Slightly Included
1.01,Premium,E,SI2,58.6,58.0,4308,6.66,6.62,3.89,171.51,1.01,0.99,Colorless,Slightly Included
1.01,Premium,J,SI2,62.5,62.0,3563,6.41,6.36,3.99,162.66,1.01,0.99,Near Colorless,Slightly Included
0.31,Premium,H,VVS1,60.6,59.0,907,4.38,4.36,2.65,50.61,1.0,0.97,Near Colorless,Very Very Slightly Included
1.25,Ideal,G,SI2,61.6,57.0,5355,6.98,6.91,4.28,206.43,1.01,0.93,Near Colorless,Slightly Included
1.32,Very Good,H,SI1,62.8,56.0,7283,6.94,7.0,4.38,212.78,0.99,0.89,Near Colorless,Slightly Included
0.3,Ideal,J,VS2,61.9,56.0,491,4.3,4.33,2.67,49.71,0.99,0.9,Near Colorless,Very Slightly Included
0.33,Very Good,G,SI2,59.4,59.0,434,4.5,4.52,2.68,54.51,1.0,0.99,Near Colorless,Slightly Included
0.38,Good,I,SI1,63.7,57.0,529,4.63,4.57,2.93,62.0,1.01,0.89,Near Colorless,Slightly Included
0.53,Ideal,G,VS1,61.7,55.0,1727,5.22,5.18,3.21,86.8,1.01,0.89,Near Colorless,Very Slightly Included
0.9,Good,H,SI2,60.4,61.0,3114,6.14,6.22,3.73,142.45,0.99,1.01,Near Colorless,Slightly Included
0.62,Ideal,H,VS2,62.8,57.0,1652,5.43,5.4,3.4,99.69,1.01,0.91,Near Colorless,Very Slightly Included
1.21,Good,G,VS2,64.1,58.0,7047,6.74,6.67,4.3,193.31,1.01,0.9,Near Colorless,Very Slightly Included
0.41,Ideal,E,VVS1,61.3,57.0,1431,4.79,4.77,2.93,66.95,1.0,0.93,Colorless,Very Very Slightly Included
0.97,Very Good,G,SI2,59.8,58.0,3960,6.38,6.42,3.83,156.88,0.99,0.97,Near Colorless,Slightly Included
0.33,Ideal,D,VS2,62.1,56.0,1002,4.47,4.42,2.76,54.53,1.01,0.9,Colorless,Very Slightly Included
1.01,Good,E,SI2,63.7,58.0,4666,6.32,6.36,4.04,162.39,0.99,0.91,Colorless,Slightly Included
0.89,Good,H,SI2,63.3,59.0,3002,6.04,6.09,3.84,141.25,0.99,0.93,Near Colorless,Slightly Included
0.9,Good,G,VS2,64.4,62.0,4135,5.97,6.02,3.86,138.73,0.99,0.96,Near Colorless,Very Slightly Included
0.72,Very Good,I,VS2,63.3,55.0,2337,5.7,5.74,3.62,118.44,0.99,0.87,Near Colorless,Very Slightly Included
1.54,Premium,I,VS1,61.6,58.0,10164,7.39,7.42,4.56,250.04,1.0,0.94,Near Colorless,Very Slightly Included
0.52,Very Good,G,VVS2,62.0,57.0,1794,5.15,5.19,3.2,85.53,0.99,0.92,Near Colorless,Very Very Slightly Included
1.09,Ideal,H,SI1,62.2,56.0,4784,6.56,6.59,4.09,176.81,1.0,0.9,Near Colorless,Slightly Included
1.2,Fair,I,I1,65.1,55.0,2376,6.65,6.59,4.31,188.88,1.01,0.84,Near Colorless,Included
0.53,Very Good,D,SI1,60.9,59.0,1415,5.18,5.2,3.16,85.12,1.0,0.97,Colorless,Slightly Included
0.34,Very Good,I,SI1,62.8,57.0,459,4.43,4.45,2.79,55.0,1.0,0.91,Near Colorless,Slightly Included
0.94,Premium,D,VS1,62.3,58.0,5980,6.34,6.28,3.93,156.47,1.01,0.93,Colorless,Very Slightly Included
0.38,Very Good,H,SI2,63.4,57.0,702,4.63,4.58,2.92,61.92,1.01,0.9,Near Colorless,Slightly Included
0.23,Very Good,E,VVS2,61.8,58.0,530,3.92,3.94,2.43,37.53,0.99,0.94,Colorless,Very Very Slightly Included
0.32,Ideal,G,VS1,61.3,57.0,828,4.4,4.37,2.69,51.72,1.01,0.93,Near Colorless,Very Slightly Included
0.44,Very Good,F,VS1,61.2,61.0,1081,4.83,4.88,2.97,70.0,0.99,1.0,Colorless,Very Slightly Included
0.33,Premium,I,VS2,60.6,58.0,594,4.47,4.44,2.7,53.59,1.01,0.96,Near Colorless,Very Slightly Included
1.62,Premium,D,SI2,61.2,61.0,9199,7.6,7.53,4.63,264.97,1.01,1.0,Colorless,Slightly Included
0.32,Ideal,H,IF,60.9,56.0,1080,4.42,4.41,2.69,52.43,1.0,0.92,Near Colorless,Internally Flawless
0.72,Ideal,G,SI1,61.9,54.0,2548,5.78,5.81,3.59,120.56,0.99,0.87,Near Colorless,Slightly Included
0.37,Premium,E,VS2,61.0,59.0,811,4.59,4.63,2.81,59.72,0.99,0.97,Colorless,Very Slightly Included
0.43,Premium,D,SI2,62.6,58.0,716,4.79,4.82,3.01,69.49,0.99,0.93,Colorless,Slightly Included
0.31,Ideal,E,VS2,60.9,57.0,680,4.34,4.36,2.65,50.14,1.0,0.94,Colorless,Very Slightly Included
0.41,Good,F,I1,63.8,57.0,646,4.72,4.69,3.0,66.41,1.01,0.89,Colorless,Included
1.01,Very Good,E,VS2,62.7,57.0,6666,6.31,6.36,3.97,159.32,0.99,0.91,Colorless,Very Slightly Included
1.5,Premium,E,SI2,62.4,62.0,9072,7.29,7.21,4.53,238.1,1.01,0.99,Colorless,Slightly Included
0.77,Ideal,H,SI1,62.4,56.0,2875,5.84,5.9,3.66,126.11,0.99,0.9,Near Colorless,Slightly Included
0.46,Premium,E,VS2,61.3,57.0,1156,5.02,4.99,3.07,76.9,1.01,0.93,Colorless,Very Slightly Included
0.56,Ideal,D,SI1,62.5,56.0,1723,5.24,5.26,3.28,90.4,1.0,0.9,Colorless,Slightly Included
0.35,Ideal,G,IF,61.1,56.0,1116,4.59,4.54,2.79,58.14,1.01,0.92,Near Colorless,Internally Flawless
0.43,Ideal,E,VS2,61.6,54.0,1053,4.9,4.88,3.01,71.98,1.0,0.88,Colorless,Very Slightly Included
0.71,Very Good,I,VS1,63.3,58.0,2198,5.68,5.66,3.59,115.41,1.0,0.92,Near Colorless,Very Slightly Included
2.01,Very Good,H,I1,58.1,63.0,6592,8.3,8.19,4.79,325.61,1.01,1.08,Near Colorless,Included
1.02,Premium,G,SI2,62.5,58.0,4552,6.43,6.4,4.01,165.02,1.0,0.93,Near Colorless,Slightly Included
1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54,250.63,1.01,0.95,Near Colorless,Internally Flawless
1.18,Very Good,J,SI2,63.5,57.0,4294,6.68,6.74,4.26,191.8,0.99,0.9,Near Colorless,Slightly Included
0.5,Ideal,D,SI1,60.9,57.0,1563,5.11,5.13,3.12,81.79,1.0,0.94,Colorless,Slightly Included
0.46,Premium,D,VVS1,60.0,59.0,1898,5.0,5.04,3.01,75.85,0.99,0.98,Colorless,Very Very Slightly Included
0.9,Very Good,G,VS2,63.2,58.0,4531,6.11,6.17,3.88,146.27,0.99,0.92,Near Colorless,Very Slightly Included
2.08,Premium,F,SI2,62.0,60.0,13437,8.15,8.1,5.04,332.72,1.01,0.97,Colorless,Slightly Included
1.16,Premium,H,SI1,60.2,59.0,5480,6.84,6.77,4.1,189.86,1.01,0.98,Near Colorless,Slightly Included
0.8,Premium,J,SI1,60.0,60.0,2088,6.1,5.97,3.66,133.29,1.02,1.0,Near Colorless,Slightly Included
0.3,Very Good,G,VS2,63.5,54.0,675,4.28,4.25,2.71,49.29,1.01,0.85,Near Colorless,Very Slightly Included
0.26,Very Good,E,VVS2,61.7,60.0,599,4.11,4.12,2.54,43.01,1.0,0.97,Colorless,Very Very Slightly Included
1.51,Very Good,H,VS2,60.9,54.0,11077,7.38,7.41,4.5,246.09,1.0,0.89,Near Colorless,Very Slightly Included
0.25,Very Good,E,VVS1,62.6,57.0,548,3.98,4.01,2.5,39.9,0.99,0.91,Colorless,Very Very Slightly Included
1.01,Very Good,D,SI2,63.5,61.0,4538,6.37,6.33,4.03,162.5,1.01,0.96,Colorless,Slightly Included
0.53,Ideal,G,SI2,59.9,57.0,1132,5.25,5.3,3.16,87.93,0.99,0.95,Near Colorless,Slightly Included
1.0,Very Good,E,SI1,63.5,61.0,5174,6.33,6.24,3.99,157.6,1.01,0.96,Colorless,Slightly Included
0.34,Ideal,F,VVS1,62.9,56.0,935,4.45,4.48,2.81,56.02,0.99,0.89,Colorless,Very Very Slightly Included
0.3,Good,D,SI1,63.1,55.0,552,4.28,4.31,2.71,49.99,0.99,0.87,Colorless,Slightly Included
1.02,Fair,F,VVS2,64.8,58.0,6863,6.22,6.28,4.05,158.2,0.99,0.9,Colorless,Very Very Slightly Included
0.74,Premium,G,SI2,60.1,58.0,2206,5.89,5.86,3.53,121.84,1.01,0.97,Near Colorless,Slightly Included
0.73,Ideal,I,VS1,62.1,54.0,2167,5.77,5.8,3.59,120.14,0.99,0.87,Near Colorless,Very Slightly Included
0.72,Ideal,H,SI2,60.9,56.0,1901,5.87,5.78,3.55,120.45,1.02,0.92,Near Colorless,Slightly Included
1.04,Ideal,I,SI1,59.7,56.0,3669,6.6,6.54,3.92,169.2,1.01,0.94,Near Colorless,Slightly Included
0.9,Ideal,G,VS2,62.7,56.0,4133,6.25,6.15,3.89,149.52,1.02,0.89,Near Colorless,Very Slightly Included
0.31,Ideal,D,VS2,61.8,55.0,852,4.33,4.36,2.69,50.78,0.99,0.89,Colorless,Very Slightly Included
1.5,Fair,J,I1,68.8,57.0,4284,6.94,6.87,4.75,226.47,1.01,0.83,Near Colorless,Included
0.34,Ideal,I,VS2,61.1,55.0,495,4.51,4.55,2.77,56.84,0.99,0.9,Near Colorless,Very Slightly Included
1.25,Premium,G,VVS1,62.0,58.0,7389,6.96,6.87,4.29,205.13,1.01,0.94,Near Colorless,Very Very Slightly Included
1.62,Ideal,I,VS2,62.1,55.0,10501,7.53,7.58,4.69,267.69,0.99,0.89,Near Colorless,Very Slightly Included
0.7,Very Good,D,VS1,61.2,56.0,3567,5.68,5.75,3.5,114.31,0.99,0.92,Colorless,Very Slightly Included
0.29,Very Good,H,VVS2,61.2,56.0,541,4.26,4.29,2.61,47.7,0.99,0.92,Near Colorless,Very Very Slightly Included
0.26,Very Good,E,VVS1,61.4,55.0,532,4.12,4.16,2.54,43.53,0.99,0.9,Colorless,Very Very Slightly Included
0.57,Premium,E,SI1,61.4,58.0,1728,5.34,5.28,3.26,91.92,1.01,0.94,Colorless,Slightly Included
1.01,Good,D,IF,63.4,59.0,15081,6.26,6.39,4.01,160.41,0.98,0.93,Colorless,Internally Flawless
0.58,Good,E,SI1,61.0,62.0,1844,5.36,5.33,3.26,93.13,1.01,1.02,Colorless,Slightly Included
1.01,Good,G,VS2,60.2,65.0,5050,6.55,6.48,3.92,166.38,1.01,1.08,Near Colorless,Very Slightly Included
0.31,Ideal,F,VS2,62.7,57.0,802,4.34,4.3,2.71,50.57,1.01,0.91,Colorless,Very Slightly Included
1.5,Very Good,F,VS2,62.6,59.0,13728,7.21,7.26,4.53,237.12,0.99,0.94,Colorless,Very Slightly Included
0.7,Good,D,VS1,57.8,60.0,3239,5.85,5.87,3.39,116.41,1.0,1.04,Colorless,Very Slightly Included
1.01,Very Good,F,VS1,63.3,60.0,7127,6.35,6.32,4.01,160.93,1.0,0.95,Colorless,Very Slightly Included
0.73,Very Good,D,SI2,60.4,59.0,2703,5.8,5.86,3.52,119.64,0.99,0.98,Colorless,Slightly Included
1.67,Ideal,H,VS2,61.7,55.0,12327,7.68,7.61,4.72,275.86,1.01,0.89,Near Colorless,Very Slightly Included
0.33,Ideal,E,VS1,60.2,57.0,781,4.48,4.52,2.71,54.88,0.99,0.95,Colorless,Very Slightly Included
0.72,Very Good,F,SI1,62.2,59.0,2404,5.72,5.76,3.57,117.62,0.99,0.95,Colorless,Slightly Included
0.31,Ideal,D,VS2,62.5,56.0,942,4.36,4.31,2.71,50.93,1.01,0.9,Colorless,Very Slightly Included
1.0,Very Good,H,SI2,63.3,57.0,4200,6.37,6.3,4.01,160.93,1.01,0.9,Near Colorless,Slightly Included
0.4,Good,H,SI2,63.8,57.0,561,4.67,4.7,2.99,65.63,0.99,0.89,Near Colorless,Slightly Included
1.0,Premium,F,VVS2,59.9,60.0,8602,6.5,6.46,3.88,162.92,1.01,1.0,Colorless,Very Very Slightly Included
1.13,Ideal,H,VS2,61.9,56.0,6670,6.69,6.63,4.13,183.18,1.01,0.9,Near Colorless,Very Slightly Included
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,53.28,1.0,0.88,Near Colorless,Slightly Included
1.07,Very Good,F,VS1,62.0,56.0,7513,6.51,6.55,4.05,172.69,0.99,0.9,Colorless,Very Slightly Included
0.33,Good,G,VS1,63.1,57.0,666,4.38,4.4,2.77,53.38,1.0,0.9,Near Colorless,Very Slightly Included
1.01,Premium,G,VS2,59.0,61.0,5946,6.62,6.56,3.89,168.93,1.01,1.03,Near Colorless,Very Slightly Included
0.3,Ideal,G,IF,62.0,55.0,863,4.33,4.35,2.69,50.67,1.0,0.89,Near Colorless,Internally Flawless
0.51,Ideal,E,SI1,60.9,56.0,1585,5.16,5.19,3.15,84.36,0.99,0.92,Colorless,Slightly Included
1.61,Ideal,F,VS1,62.0,55.0,17414,7.55,7.52,4.67,265.14,1.0,0.89,Colorless,Very Slightly Included
2.02,Very Good,J,SI2,59.2,60.0,11757,8.27,8.39,4.91,340.68,0.99,1.01,Near Colorless,Slightly Included
0.9,Very Good,E,SI1,61.8,60.0,4054,6.14,6.2,3.81,145.04,0.99,0.97,Colorless,Slightly Included
0.97,Premium,F,SI2,59.9,59.0,3993,6.45,6.38,3.84,158.02,1.01,0.98,Colorless,Slightly Included
1.31,Ideal,H,VS1,61.5,56.0,8429,7.0,7.06,4.32,213.49,0.99,0.91,Near Colorless,Very Slightly Included
1.01,Ideal,G,VS2,60.1,55.0,6512,6.53,6.58,3.94,169.29,0.99,0.92,Near Colorless,Very Slightly Included
0.32,Ideal,D,VVS1,61.8,56.0,1067,4.39,4.41,2.72,52.66,1.0,0.91,Colorless,Very Very Slightly Included
0.52,Ideal,G,VVS2,61.3,56.0,1897,5.18,5.2,3.18,85.66,1.0,0.91,Near Colorless,Very Very Slightly Included
2.0,Good,I,SI1,63.9,57.0,12554,8.01,7.91,5.09,322.5,1.01,0.89,Near Colorless,Slightly Included
0.63,Very Good,D,SI1,62.8,57.0,1939,5.46,5.49,3.44,103.12,0.99,0.91,Colorless,Slightly Included
1.03,Very Good,D,VS1,59.6,61.0,6848,6.57,6.62,3.93,170.93,0.99,1.02,Colorless,Very Slightly Included
0.31,Ideal,G,VVS1,62.0,54.0,789,4.38,4.39,2.72,52.3,1.0,0.87,Near Colorless,Very Very Slightly Included
0.7,Premium,H,SI1,61.1,58.0,2383,5.73,5.69,3.49,113.79,1.01,0.95,Near Colorless,Slightly Included
0.71,Fair,J,VS2,64.9,54.0,1435,5.63,5.53,3.62,112.7,1.02,0.83,Near Colorless,Very Slightly Included
0.52,Ideal,E,VS2,62.2,55.0,1571,5.16,5.22,3.23,87.0,0.99,0.88,Colorless,Very Slightly Included
0.5,Ideal,I,VVS1,61.6,56.0,1747,5.1,5.13,3.15,82.41,0.99,0.91,Near Colorless,Very Very Slightly Included
2.0,Premium,D,SI2,59.3,62.0,12576,8.12,8.06,4.8,314.15,1.01,1.05,Colorless,Slightly Included
0.5,Fair,E,SI1,66.5,58.0,1098,4.87,4.9,3.25,77.55,0.99,0.87,Colorless,Slightly Included
0.37,Premium,D,SI1,61.9,59.0,874,4.65,4.62,2.87,61.66,1.01,0.95,Colorless,Slightly Included
2.01,Premium,E,SI2,62.6,58.0,14502,8.01,7.93,4.99,316.96,1.01,0.93,Colorless,Slightly Included
0.33,Very Good,I,SI1,63.0,57.0,434,4.37,4.39,2.76,52.95,1.0,0.9,Near Colorless,Slightly Included
1.01,Very Good,D,SI1,62.2,58.0,5122,6.36,6.4,3.97,161.59,0.99,0.93,Colorless,Slightly Included
2.22,Premium,I,VS2,60.5,59.0,14662,8.41,8.37,5.08,357.59,1.0,0.98,Near Colorless,Very Slightly Included
0.53,Ideal,F,VS2,62.3,55.0,1566,5.17,5.2,3.23,86.84,0.99,0.88,Colorless,Very Slightly Included
0.31,Ideal,E,VS2,62.9,57.0,872,4.35,4.3,2.72,50.88,1.01,0.91,Colorless,Very Slightly Included
0.31,Ideal,D,VS1,61.9,53.0,774,4.36,4.4,2.71,51.99,0.99,0.86,Colorless,Very Slightly Included
0.96,Fair,G,SI2,72.2,56.0,2438,6.01,5.81,4.28,149.45,1.03,0.78,Near Colorless,Slightly Included
0.36,Very Good,E,VS2,60.4,58.0,677,4.58,4.62,2.78,58.82,0.99,0.96,Colorless,Very Slightly Included
1.29,Ideal,G,VVS2,62.4,57.0,10614,6.94,6.97,4.34,209.93,1.0,0.91,Near Colorless,Very Very Slightly Included
2.3,Premium,I,VS2,61.8,60.0,18239,8.47,8.39,5.21,370.24,1.01,0.97,Near Colorless,Very Slightly Included
0.91,Good,I,SI1,64.2,59.0,2676,5.98,6.05,3.86,139.65,0.99,0.92,Near Colorless,Slightly Included
1.01,Very Good,F,VS2,59.2,60.0,6204,6.46,6.51,3.84,161.49,0.99,1.01,Colorless,Very Slightly Included
1.57,Premium,D,SI1,62.2,59.0,11976,7.37,7.45,4.61,253.12,0.99,0.95,Colorless,Slightly Included
0.9,Ideal,I,SI1,62.3,56.0,3251,6.18,6.12,3.83,144.86,1.01,0.9,Near Colorless,Slightly Included
0.33,Premium,E,VS2,61.1,59.0,723,4.45,4.49,2.73,54.55,0.99,0.97,Colorless,Very Slightly Included
2.37,Ideal,H,SI2,62.1,55.0,16937,8.52,8.54,5.3,385.63,1.0,0.89,Near Colorless,Slightly Included
0.41,Very Good,G,SI1,60.4,58.0,735,4.77,4.84,2.9,66.95,0.99,0.96,Near Colorless,Slightly Included
2.19,Good,I,SI2,63.7,57.0,11756,8.23,8.19,5.23,352.52,1.0,0.89,Near Colorless,Slightly Included
0.51,Ideal,D,VS2,60.9,56.0,1787,5.16,5.19,3.15,84.36,0.99,0.92,Colorless,Very Slightly Included
0.31,Ideal,F,VVS1,62.4,55.0,828,4.33,4.36,2.71,51.16,0.99,0.88,Colorless,Very Very Slightly Included
1.54,Premium,H,SI1,62.2,58.0,10466,7.45,7.32,4.59,250.31,1.02,0.93,Near Colorless,Slightly Included
0.54,Ideal,D,VS1,61.4,57.0,2039,5.21,5.24,3.21,87.63,0.99,0.93,Colorless,Very Slightly Included
1.24,Ideal,I,SI2,62.5,57.0,3312,6.89,6.84,4.29,202.18,1.01,0.91,Near Colorless,Slightly Included
0.9,Very Good,I,VS2,61.4,58.0,3445,6.16,6.26,3.81,146.92,0.98,0.94,Near Colorless,Very Slightly Included
1.12,Premium,H,I1,59.1,61.0,2854,6.78,6.75,4.0,183.06,1.0,1.03,Near Colorless,Included
0.33,Ideal,F,VVS1,61.7,55.0,880,4.42,4.46,2.74,54.01,0.99,0.89,Colorless,Very Very Slightly Included
0.55,Ideal,G,VS2,61.4,56.3,1662,5.26,5.29,3.24,90.15,0.99,0.92,Near Colorless,Very Slightly Included
0.57,Premium,H,VS1,61.7,58.0,1613,5.33,5.3,3.28,92.66,1.01,0.94,Near Colorless,Very Slightly Included
